epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,14664.3,1.05014,0.52056,1.05535,0.89348,0.75181,0.83556,0.56987,1.13852,0.7276,1.16292,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524
31,15164.1,1.04725,0.51978,1.05195,0.90091,0.75188,0.8369,0.57441,1.12796,0.73517,1.15887,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
32,15658.6,1.03894,0.51552,1.04082,0.89289,0.76264,0.84177,0.57532,1.13551,0.72127,1.12997,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464
33,16229.1,1.0397,0.51439,1.05019,0.89273,0.76199,0.84035,0.57804,1.12378,0.70757,1.17435,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
34,16730.8,1.03558,0.51289,1.04786,0.89115,0.76427,0.83924,0.576,1.12987,0.72738,1.15397,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973
35,17218.5,1.02704,0.50905,1.04439,0.89119,0.76603,0.8406,0.57706,1.12481,0.71843,1.16982,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
36,17726.6,1.02672,0.50456,1.04021,0.89129,0.76693,0.84232,0.57985,1.12585,0.70517,1.14978,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
37,18227.2,1.02289,0.50312,1.04002,0.89652,0.76356,0.84212,0.58194,1.12136,0.72459,1.16532,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
38,18785.7,1.02218,0.50274,1.04196,0.90213,0.75996,0.84487,0.58422,1.12468,0.71807,1.16065,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725
39,19343,1.01912,0.49956,1.03711,0.89732,0.76599,0.84581,0.58421,1.1208,0.71013,1.15365,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
40,19907.2,1.01476,0.49834,1.035,0.90392,0.76477,0.84713,0.58759,1.11262,0.69944,1.14468,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984
41,20406.6,1.01169,0.49504,1.03538,0.8987,0.76972,0.84833,0.58836,1.11304,0.68585,1.15075,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
42,20949.7,1.01,0.49357,1.03312,0.89858,0.76987,0.84774,0.58875,1.11081,0.67533,1.14777,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844
43,21444.6,1.00623,0.49311,1.03089,0.90488,0.76528,0.8498,0.59008,1.11159,0.6829,1.14848,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
44,21944.8,1.00822,0.49129,1.03767,0.89593,0.77217,0.8495,0.5909,1.10816,0.682,1.15576,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313
45,22440.2,1.00017,0.48711,1.02732,0.90332,0.76804,0.8497,0.59156,1.10753,0.67883,1.15354,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
46,22935.2,0.9971,0.48722,1.0272,0.90104,0.76806,0.84926,0.59183,1.10702,0.68757,1.15389,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401
47,23431.2,0.99779,0.48613,1.02881,0.89831,0.77059,0.84938,0.59241,1.10585,0.68518,1.15449,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
48,23930.6,0.99344,0.48232,1.02121,0.9015,0.77175,0.85054,0.59396,1.10602,0.68305,1.14841,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117
49,24427.5,0.99011,0.48176,1.02352,0.89965,0.7719,0.85045,0.59458,1.10296,0.68198,1.14766,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
50,24951.2,0.98597,0.47867,1.02163,0.89989,0.77346,0.8509,0.59513,1.10315,0.68289,1.1452,0.0258142,0.00860473,0.0258142,0.00860473,0.0258142,0.00860473,0.0258142,0.00860473
51,25499,0.98706,0.4781,1.01729,0.90059,0.77351,0.85194,0.59557,1.10264,0.67589,1.13776,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
52,26001.6,0.98574,0.47837,1.01865,0.89798,0.77524,0.85177,0.59563,1.10278,0.67314,1.13937,0.0254843,0.00849477,0.0254843,0.00849477,0.0254843,0.00849477,0.0254843,0.00849477
53,26504,0.97541,0.47393,1.01649,0.902,0.77307,0.85218,0.5963,1.10307,0.67366,1.14094,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
54,27001.6,0.97976,0.47484,1.01981,0.89753,0.77567,0.85226,0.59673,1.10194,0.67448,1.14267,0.0251442,0.00838141,0.0251442,0.00838141,0.0251442,0.00838141,0.0251442,0.00838141
55,27500.1,0.97409,0.46964,1.01136,0.8967,0.77612,0.85229,0.59692,1.10277,0.67092,1.14159,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
56,27994.4,0.97248,0.47053,1.00962,0.89513,0.77885,0.85274,0.59778,1.1034,0.66974,1.13874,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477
57,28517.7,0.97025,0.46965,1.00851,0.89749,0.77915,0.85345,0.59824,1.10327,0.66645,1.13683,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
58,29194.4,0.97204,0.46913,1.00755,0.90068,0.77805,0.85389,0.59902,1.1024,0.66646,1.13552,0.0244349,0.00814495,0.0244349,0.00814495,0.0244349,0.00814495,0.0244349,0.00814495
59,29967,0.9679,0.46793,1.0147,0.90071,0.77772,0.85424,0.59908,1.10024,0.66303,1.1356,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
60,30508.6,0.96458,0.46486,1.01805,0.89875,0.77973,0.85468,0.59969,1.09915,0.66175,1.13749,0.0240662,0.00802208,0.0240662,0.00802208,0.0240662,0.00802208,0.0240662,0.00802208
61,31012,0.9625,0.46465,1.00913,0.89901,0.77951,0.8552,0.60029,1.0981,0.65771,1.13738,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
62,31510.9,0.96119,0.4643,1.00673,0.8999,0.77919,0.85501,0.6005,1.09761,0.65838,1.13713,0.0236888,0.00789628,0.0236888,0.00789628,0.0236888,0.00789628,0.0236888,0.00789628
63,32004.3,0.95749,0.4615,1.00653,0.90098,0.77816,0.8553,0.60071,1.09767,0.65686,1.13851,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
64,32499.5,0.95207,0.45849,1.00805,0.90187,0.77755,0.85508,0.60078,1.09722,0.65672,1.13888,0.023303,0.00776766,0.023303,0.00776766,0.023303,0.00776766,0.023303,0.00776766
65,32992.4,0.95493,0.45994,1.00066,0.90391,0.77601,0.85561,0.6012,1.09692,0.65267,1.13786,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
66,33490.4,0.94824,0.45648,1.00074,0.90288,0.7773,0.85588,0.6013,1.09596,0.65278,1.13795,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637
67,33991.1,0.94595,0.45476,0.99929,0.90188,0.7784,0.85593,0.60166,1.0956,0.65217,1.13747,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
68,34492.8,0.9474,0.45293,1.00222,0.90124,0.77764,0.85591,0.60195,1.09555,0.65066,1.13715,0.0225076,0.00750252,0.0225076,0.00750252,0.0225076,0.00750252,0.0225076,0.00750252
69,34994.9,0.94149,0.45233,0.99375,0.90089,0.7787,0.85609,0.60227,1.09561,0.65009,1.13639,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
