epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
125,63446.8,0.78643,0.36924,0.93073,0.89649,0.78821,0.86274,0.613,1.0955,0.61878,1.15229,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
126,63952.8,0.78041,0.36566,0.92818,0.89678,0.78851,0.8629,0.61306,1.0953,0.61861,1.1527,0.00946715,0.00315572,0.00946715,0.00315572,0.00946715,0.00315572,0.00946715,0.00315572
127,64458.4,0.78094,0.36678,0.92825,0.89655,0.78897,0.86284,0.61329,1.09553,0.61798,1.1535,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412
128,64955,0.77514,0.36314,0.9258,0.89701,0.78835,0.86293,0.61329,1.0956,0.61816,1.154,0.00903901,0.003013,0.00903901,0.003013,0.00903901,0.003013,0.00903901,0.003013
129,65541.4,0.7764,0.36347,0.92619,0.89679,0.78855,0.86306,0.6133,1.09545,0.61838,1.15413,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
130,66045.2,0.76788,0.35939,0.9237,0.89785,0.78748,0.8626,0.61346,1.09559,0.61879,1.1547,0.0086169,0.0028723,0.0086169,0.0028723,0.0086169,0.0028723,0.0086169,0.0028723
131,66552.2,0.76602,0.35843,0.92239,0.89761,0.78779,0.86276,0.61389,1.09462,0.61889,1.15426,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
132,67059.7,0.76215,0.35651,0.92242,0.89601,0.78865,0.86281,0.61388,1.09535,0.6203,1.15575,0.00820124,0.00273375,0.00820124,0.00273375,0.00820124,0.00273375,0.00820124,0.00273375
133,67555.2,0.76134,0.35547,0.92213,0.89576,0.78822,0.86285,0.61406,1.09527,0.62077,1.15612,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
134,68051.5,0.75498,0.35354,0.91816,0.89359,0.78988,0.86277,0.61423,1.09577,0.61993,1.15713,0.00779244,0.00259748,0.00779244,0.00259748,0.00779244,0.00259748,0.00779244,0.00259748
135,68551.6,0.75452,0.35272,0.91595,0.8949,0.78806,0.86262,0.61422,1.09562,0.62018,1.15727,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024
136,69045.4,0.75356,0.3516,0.9159,0.89371,0.78864,0.86255,0.61429,1.095,0.62035,1.15669,0.0073909,0.00246363,0.0073909,0.00246363,0.0073909,0.00246363,0.0073909,0.00246363
137,69536.5,0.74625,0.34979,0.9136,0.89395,0.78839,0.86289,0.6143,1.09475,0.621,1.15684,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
138,70043.7,0.74171,0.34681,0.91151,0.89443,0.7881,0.86268,0.61449,1.09526,0.62044,1.15718,0.00699701,0.00233234,0.00699701,0.00233234,0.00699701,0.00233234,0.00699701,0.00233234
139,70541.6,0.74036,0.34628,0.91038,0.89414,0.78871,0.86294,0.61445,1.095,0.61926,1.15731,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769
140,71034.1,0.73567,0.34429,0.91147,0.89456,0.78825,0.86288,0.61476,1.09493,0.62016,1.15784,0.00661117,0.00220372,0.00661117,0.00220372,0.00661117,0.00220372,0.00661117,0.00220372
141,71546.8,0.73515,0.34415,0.90807,0.89404,0.78884,0.86295,0.61489,1.09502,0.6206,1.158,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
142,72055,0.73113,0.34196,0.90485,0.89476,0.78816,0.86291,0.61488,1.09554,0.62177,1.15805,0.00623376,0.00207792,0.00623376,0.00207792,0.00623376,0.00207792,0.00623376,0.00207792
143,72548.7,0.72823,0.34136,0.90422,0.89569,0.78731,0.86305,0.6149,1.09563,0.62335,1.15831,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611
144,73041.7,0.72223,0.33859,0.90346,0.89555,0.78728,0.86288,0.61505,1.09608,0.62402,1.15849,0.00586515,0.00195505,0.00586515,0.00195505,0.00586515,0.00195505,0.00586515,0.00195505
145,73543.6,0.72324,0.33833,0.90123,0.89479,0.78825,0.86302,0.61524,1.09603,0.62429,1.15853,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
146,74049.5,0.71973,0.33631,0.89907,0.89466,0.78792,0.86318,0.6156,1.09634,0.6245,1.15886,0.0055057,0.00183523,0.0055057,0.00183523,0.0055057,0.00183523,0.0055057,0.00183523
147,74553.1,0.71235,0.33281,0.89922,0.89486,0.78713,0.8632,0.61568,1.09626,0.62365,1.159,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651
148,75053.7,0.71336,0.33312,0.90005,0.89603,0.78641,0.86328,0.61596,1.09633,0.6252,1.15926,0.00515576,0.00171859,0.00515576,0.00171859,0.00515576,0.00171859,0.00515576,0.00171859
149,75550.4,0.70905,0.33196,0.89979,0.89602,0.78658,0.86329,0.61576,1.09715,0.62653,1.16007,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
150,76047.4,0.70637,0.32993,0.89578,0.89498,0.78724,0.86332,0.61599,1.09659,0.62721,1.15939,0.00481569,0.00160523,0.00481569,0.00160523,0.00481569,0.00160523,0.00481569,0.00160523
151,76560.2,0.7046,0.32851,0.89499,0.89572,0.78646,0.86301,0.61607,1.09609,0.62756,1.15877,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
152,77054.7,0.70036,0.32792,0.89501,0.89459,0.78704,0.86303,0.61591,1.09639,0.62861,1.15908,0.00448582,0.00149527,0.00448582,0.00149527,0.00448582,0.00149527,0.00448582,0.00149527
153,77553.8,0.69934,0.32653,0.89463,0.89496,0.78646,0.86305,0.61628,1.09567,0.62869,1.15915,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
154,78042.8,0.69508,0.32458,0.89274,0.89572,0.78616,0.86308,0.61616,1.09572,0.62934,1.15933,0.00416648,0.00138883,0.00416648,0.00138883,0.00416648,0.00138883,0.00416648,0.00138883
155,78538.8,0.69414,0.3247,0.89258,0.89627,0.78571,0.86323,0.61612,1.09553,0.62936,1.15931,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695
156,79031.5,0.68925,0.3221,0.89038,0.89667,0.7858,0.86347,0.6163,1.09605,0.62972,1.1594,0.00385797,0.00128599,0.00385797,0.00128599,0.00385797,0.00128599,0.00385797,0.00128599
157,79528.1,0.68857,0.32201,0.88946,0.89577,0.7869,0.86345,0.61622,1.09616,0.63014,1.15953,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
158,80023.2,0.68345,0.3201,0.88671,0.89578,0.78647,0.86343,0.61634,1.09653,0.62966,1.15936,0.00356061,0.00118687,0.00356061,0.00118687,0.00356061,0.00118687,0.00356061,0.00118687
159,80590.5,0.67845,0.31843,0.88548,0.89676,0.78621,0.86335,0.61638,1.09629,0.63013,1.15982,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873
160,81084.5,0.67595,0.31595,0.88449,0.89657,0.78639,0.86362,0.6164,1.0963,0.62963,1.16009,0.00327468,0.00109156,0.00327468,0.00109156,0.00327468,0.00109156,0.00327468,0.00109156
161,81592,0.67504,0.3161,0.8858,0.89583,0.78711,0.8636,0.61638,1.09567,0.62939,1.15996,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
162,82087.7,0.67153,0.3148,0.88551,0.89584,0.78686,0.86337,0.61627,1.09587,0.62953,1.16019,0.00300048,0.00100016,0.00300048,0.00100016,0.00300048,0.00100016,0.00300048,0.00100016
163,82578.1,0.6697,0.31376,0.88423,0.8957,0.78659,0.86306,0.61639,1.09625,0.62981,1.16103,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951
164,83071.8,0.66545,0.31078,0.88233,0.89498,0.78657,0.86301,0.61646,1.09637,0.63104,1.16139,0.00273826,0.000912754,0.00273826,0.000912754,0.00273826,0.000912754,0.00273826,0.000912754
165,83561,0.66417,0.3102,0.8822,0.89458,0.78638,0.86269,0.61663,1.09695,0.6318,1.16215,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
166,84045.1,0.66114,0.3091,0.88215,0.89373,0.78656,0.86249,0.61657,1.09678,0.63106,1.16303,0.00248829,0.000829431,0.00248829,0.000829431,0.00248829,0.000829431,0.00248829,0.000829431
167,84525.8,0.66118,0.30954,0.87908,0.89399,0.78709,0.86266,0.61667,1.09683,0.63111,1.16371,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327
168,85008.5,0.6558,0.30682,0.87866,0.8943,0.78656,0.86273,0.61684,1.09707,0.63271,1.16424,0.00225082,0.000750274,0.00225082,0.000750274,0.00225082,0.000750274,0.00225082,0.000750274
169,85491.9,0.65669,0.30635,0.87984,0.89418,0.78633,0.86263,0.61668,1.09707,0.63318,1.16474,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
170,85976.5,0.65085,0.30363,0.87876,0.89451,0.78568,0.8625,0.61684,1.09679,0.63336,1.16526,0.00202608,0.00067536,0.00202608,0.00067536,0.00202608,0.00067536,0.00202608,0.00067536
171,86468.4,0.65263,0.30598,0.87918,0.89399,0.78627,0.86256,0.6166,1.09654,0.634,1.16543,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
172,86955.5,0.64716,0.30303,0.87596,0.89508,0.78491,0.86254,0.61673,1.09638,0.63442,1.16594,0.00181429,0.000604763,0.00181429,0.000604763,0.00181429,0.000604763,0.00181429,0.000604763
173,87443.5,0.64679,0.30243,0.87584,0.89633,0.784,0.86248,0.61661,1.0965,0.63408,1.16665,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106
174,87924.5,0.64633,0.30203,0.87506,0.89567,0.78419,0.86238,0.61656,1.09628,0.6338,1.16722,0.00161566,0.000538554,0.00161566,0.000538554,0.00161566,0.000538554,0.00161566,0.000538554
175,88405.3,0.6415,0.30069,0.87468,0.89625,0.78387,0.86249,0.61644,1.09598,0.63284,1.16763,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115
176,88888.8,0.6398,0.29964,0.87305,0.89623,0.78373,0.86253,0.61645,1.09612,0.63318,1.16821,0.00143039,0.000476796,0.00143039,0.000476796,0.00143039,0.000476796,0.00143039,0.000476796
177,89368.9,0.63799,0.2991,0.87291,0.89569,0.78323,0.86244,0.61624,1.09568,0.63312,1.16842,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606
178,89854.3,0.63897,0.29913,0.87297,0.8953,0.78365,0.86241,0.61637,1.09579,0.63365,1.16916,0.00125866,0.000419552,0.00125866,0.000419552,0.00125866,0.000419552,0.00125866,0.000419552
179,90337.2,0.63542,0.29781,0.8719,0.89561,0.78263,0.86222,0.61632,1.09616,0.63446,1.17011,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264
180,90823.1,0.63558,0.29742,0.87282,0.89576,0.7821,0.86225,0.61619,1.09572,0.63373,1.17081,0.00110063,0.000366877,0.00110063,0.000366877,0.00110063,0.000366877,0.00110063,0.000366877
181,91322.7,0.6317,0.29581,0.87209,0.89722,0.78078,0.86235,0.61615,1.09556,0.6329,1.17139,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
182,91813.7,0.6303,0.2958,0.8711,0.89862,0.7792,0.8624,0.61617,1.09586,0.63201,1.1724,0.000956474,0.000318825,0.000956474,0.000318825,0.000956474,0.000318825,0.000956474,0.000318825
183,92299.7,0.62948,0.29446,0.87233,0.89879,0.77855,0.86234,0.616,1.09622,0.63232,1.17332,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546
184,92780.5,0.6284,0.29446,0.87055,0.89871,0.77854,0.86204,0.61589,1.09611,0.63219,1.1741,0.000826322,0.000275441,0.000826322,0.000275441,0.000826322,0.000275441,0.000826322,0.000275441
185,93265.3,0.62511,0.2929,0.86981,0.89771,0.78015,0.86191,0.61605,1.09646,0.6313,1.17535,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513
186,93749.4,0.62816,0.29331,0.8689,0.898,0.7797,0.8619,0.61591,1.09681,0.63145,1.17628,0.000710307,0.000236769,0.000710307,0.000236769,0.000710307,0.000236769,0.000710307,0.000236769
187,94234.7,0.62445,0.29248,0.86874,0.89875,0.77907,0.86185,0.61603,1.09663,0.63216,1.17701,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212
188,94716.1,0.62148,0.2913,0.86966,0.89839,0.77868,0.86192,0.61591,1.09666,0.63056,1.17774,0.000608541,0.000202847,0.000608541,0.000202847,0.000608541,0.000202847,0.000608541,0.000202847
189,95201.4,0.62159,0.2921,0.86913,0.90005,0.77732,0.86171,0.61576,1.0974,0.63015,1.17891,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678
190,95689.4,0.62454,0.29216,0.86893,0.89944,0.77767,0.8617,0.61564,1.09804,0.63061,1.18018,0.000521127,0.000173709,0.000521127,0.000173709,0.000521127,0.000173709,0.000521127,0.000173709
191,96179.4,0.63025,0.28394,0.86922,0.8985,0.77854,0.86165,0.61565,1.09817,0.62907,1.18122,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943
192,96664.3,0.61379,0.27844,0.86281,0.89843,0.77841,0.86144,0.61553,1.09846,0.62914,1.18218,0.000448149,0.000149383,0.000448149,0.000149383,0.000448149,0.000149383,0.000448149,0.000149383
193,97141.8,0.60649,0.27548,0.86114,0.89888,0.77776,0.86141,0.61546,1.0988,0.62975,1.18334,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032
194,97620.9,0.60479,0.27389,0.86021,0.89996,0.7771,0.86152,0.61552,1.09846,0.62983,1.18373,0.00038968,0.000129893,0.00038968,0.000129893,0.00038968,0.000129893,0.00038968,0.000129893
195,98100.6,0.60146,0.27408,0.85936,0.90038,0.77725,0.86158,0.6154,1.09876,0.63011,1.18471,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968
196,98583.4,0.60005,0.27263,0.85829,0.89938,0.77791,0.86132,0.61509,1.09901,0.63105,1.18576,0.000345778,0.000115259,0.000345778,0.000115259,0.000345778,0.000115259,0.000345778,0.000115259
197,99061.9,0.59969,0.27253,0.85951,0.90051,0.77697,0.86133,0.61519,1.09941,0.63131,1.18671,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768
198,99542.6,0.59903,0.27221,0.85818,0.90068,0.77665,0.86135,0.61494,1.10011,0.63198,1.18777,0.000316485,0.000105495,0.000316485,0.000105495,0.000316485,0.000105495,0.000316485,0.000105495
199,100027,0.59844,0.27306,0.85923,0.89932,0.77735,0.86112,0.61457,1.10046,0.63297,1.18888,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443
200,100505,0.59771,0.27244,0.85889,0.90058,0.77615,0.86102,0.61447,1.10046,0.6322,1.18948,0.000301832,0.000100611,0.000301832,0.000100611,0.000301832,0.000100611,0.000301832,0.000100611
